creating ./logs/logs-2022-06-28IndianPines.txt
---------------------------------------------------------------------
-----------------------------Next run log----------------------------
---------------------------2022-06-28:20:57--------------------------
---------------------------------------------------------------------
Computation on CUDA GPU device 0
creating ./logs/logs-2022-06-28IndianPines.txt
---------------------------------------------------------------------
-----------------------------Next run log----------------------------
---------------------------2022-06-28:20:57--------------------------
---------------------------------------------------------------------
Computation on CUDA GPU device 0
Setting up a new session...
Visdom successfully connected to server
Running an experiment with the Model_by_DMuCA model, RUN [1/1]
RUN:0
Setting up a new session...
Visdom successfully connected to server
1024 samples selected for training(over 10249)
9225 samples selected for training(over 10249)
Running an experiment with the Model_by_DMuCA model, RUN [1/1]
RUN:0
1024 samples selected for validation(over 10249)
Running an experiment with the Model_by_DMuCA model
Train dataloader:29
Validation dataloader:30
----------Training parameters----------
dataset:IndianPines
model:Model_by_DMuCA
folder:../dataset/
cuda:0
run:1
sampling_mode:random
training_percentage:0.1
train_gt:False
test_gt:False
sample_nums:20
epoch:100
save_epoch:5
patch_size:11
lr:0.005
class_balancing:True
test_stride:1
n_classes:17
ignored_labels:[0]
device:cuda:0
weights:tensor([ 0.0000,  9.6000,  0.3357,  0.5783,  2.0000,  1.0000,  0.6575, 16.0000,
         1.0000, 24.0000,  0.4948,  0.1959,  0.8136,  2.4000,  0.3810,  1.2308,
         5.3333], device='cuda:0')
batch_size:32
validation_percentage:0.1
bands:200
spa_head:16
spe_head:25
scheduler:<torch.optim.lr_scheduler.ReduceLROnPlateau object at 0x7fcb369f3160>
supervision:full
center_pixel:True
Network :
----------Training process----------
Epoch [1/100    avg_loss:1.82, val_acc:0.56]
Epoch [2/100    avg_loss:1.11, val_acc:0.62]
Epoch [3/100    avg_loss:0.74, val_acc:0.79]
Epoch [4/100    avg_loss:0.50, val_acc:0.77]
Epoch [5/100    avg_loss:0.37, val_acc:0.87]
Epoch [6/100    avg_loss:0.29, val_acc:0.88]
Epoch [7/100    avg_loss:0.28, val_acc:0.89]
Epoch [8/100    avg_loss:0.19, val_acc:0.92]
Epoch [9/100    avg_loss:0.23, val_acc:0.91]
Epoch [10/100    avg_loss:0.15, val_acc:0.87]
Epoch [11/100    avg_loss:0.13, val_acc:0.91]
Epoch [12/100    avg_loss:0.06, val_acc:0.95]
Epoch [13/100    avg_loss:0.09, val_acc:0.97]
Epoch [14/100    avg_loss:0.03, val_acc:0.97]
Epoch [15/100    avg_loss:0.04, val_acc:0.96]
Epoch [16/100    avg_loss:0.05, val_acc:0.96]
Epoch [17/100    avg_loss:0.03, val_acc:0.96]
Epoch [18/100    avg_loss:0.03, val_acc:0.95]
Epoch [19/100    avg_loss:0.04, val_acc:0.96]
Epoch [20/100    avg_loss:0.05, val_acc:0.95]
Epoch [21/100    avg_loss:0.04, val_acc:0.94]
Epoch [22/100    avg_loss:0.03, val_acc:0.96]
Epoch [23/100    avg_loss:0.01, val_acc:0.97]
Epoch [24/100    avg_loss:0.02, val_acc:0.97]
Epoch [25/100    avg_loss:0.01, val_acc:0.97]
Epoch [26/100    avg_loss:0.01, val_acc:0.96]
Epoch [27/100    avg_loss:0.01, val_acc:0.97]
Epoch [28/100    avg_loss:0.01, val_acc:0.97]
Epoch [29/100    avg_loss:0.00, val_acc:0.98]
